Ticker,Yearly_Return
INDUSINDBK,-30.46
ASIANPAINT,-21.94
BAJFINANCE,-16.11
ADANIENT,-6.67
HINDUNILVR,-0.96
NESTLEIND,0.71
KOTAKBANK,1.99
BAJAJFINSV,2.55
TITAN,3.52
MARUTI,6.93
