month_number,month_name,average_close_price,average_volume
1,January,2290.99,7019825
2,February,2363.6,7530579
3,March,2385.58,7959761
4,April,2434.02,7201931
5,May,2445.88,7299168
6,June,2563.94,9880631
7,July,2648.55,7377668
8,August,2684.57,6597077
9,September,2838.38,6645425
10,October,2401.61,5330638
11,November,2269.92,5114317
12,December,2225.05,7062581
