Ticker,Yearly_Return
TRENT,223.09
BEL,101.76
M&M,95.98
BAJAJ-AUTO,89.01
BHARTIARTL,69.6
POWERGRID,68.85
BPCL,67.48
HEROMOTOCO,58.98
SUNPHARMA,57.28
HCLTECH,53.26
